section,foods
NEU340(56445),"ramen noodle soup 🍜,pineapple on pizza 🍍🍕,green olives 🫒"
NEU340(56450),"chocolate ice cream 🍨,ramen noodle soup 🍜,a giant steak 🥩"
NEU340(56445),"chocolate ice cream 🍨,pineapple on pizza 🍍🍕"
NEU340(56445),"raw carrots 🥕,chocolate ice cream 🍨,ramen noodle soup 🍜,a giant steak 🥩,pineapple on pizza 🍍🍕"
NEU340(56445),"raw carrots 🥕,ramen noodle soup 🍜"
NEU340(56450),"raw carrots 🥕,chocolate ice cream 🍨,ramen noodle soup 🍜"
NEU340(56445),"raw carrots 🥕,chocolate ice cream 🍨,ramen noodle soup 🍜,a giant steak 🥩"
NEU340(56445),"chocolate ice cream 🍨,ramen noodle soup 🍜,a giant steak 🥩,green olives 🫒"
NEU340(56445),"raw carrots 🥕,chocolate ice cream 🍨,ramen noodle soup 🍜,a giant steak 🥩"
NEU340(56450),"ramen noodle soup 🍜,pineapple on pizza 🍍🍕"
NEU340(56445),"raw carrots 🥕,chocolate ice cream 🍨,ramen noodle soup 🍜,a giant steak 🥩,green olives 🫒"
NEU340(56445),"raw carrots 🥕,ramen noodle soup 🍜,green olives 🫒"
NEU340(56445),"raw carrots 🥕,chocolate ice cream 🍨,ramen noodle soup 🍜"
NEU340(56450),chocolate ice cream 🍨
NEU340(56445),"raw carrots 🥕,chocolate ice cream 🍨,ramen noodle soup 🍜,pineapple on pizza 🍍🍕"
NEU340(56445),"raw carrots 🥕,chocolate ice cream 🍨,ramen noodle soup 🍜,a giant steak 🥩,pineapple on pizza 🍍🍕,green olives 🫒"
NEU340(56450),"raw carrots 🥕,chocolate ice cream 🍨,ramen noodle soup 🍜,a giant steak 🥩,pineapple on pizza 🍍🍕"
NEU340(56445),"raw carrots 🥕,chocolate ice cream 🍨,ramen noodle soup 🍜,a giant steak 🥩"
NEU340(56450),"raw carrots 🥕,chocolate ice cream 🍨,ramen noodle soup 🍜,a giant steak 🥩,pineapple on pizza 🍍🍕"
NEU340(56450),"chocolate ice cream 🍨,ramen noodle soup 🍜,a giant steak 🥩"
NEU340(56450),raw carrots 🥕
